id;idproject;area_km2;municipio;cod_estado;cod_class;class;obs;geom
1;1;0.06045070742051641;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((346798.34844435804 7445805.908033055,346627.44150795205 7445804.703363068,346602.9294885928 7446158.564519782,346754.2486023144 7446194.543080269,346798.34844435804 7445805.908033055)))
2;1;0.0017118844234737228;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((340842.3334528392 7438392.656475028,340847.0799973804 7438462.622471241,340855.9381657875 7438456.16242803,340891.4989569555 7438418.306910151,340842.3334528392 7438392.656475028)))
3;1;0.027369636786121507;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((344620.62737660616 7443505.39356025,344498.0279272344 7443511.2214960335,344453.19645297475 7443753.352666205,344605.20849114243 7443719.964542553,344584.8609063586 7443562.938727581,344620.62737660616 7443505.39356025)))
4;1;0.024361377632340656;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((332582.20331051276 7452168.696616508,332227.30322873674 7452239.634898435,332221.48764374835 7452243.397028733,332218.9096617304 7452252.662744686,332212.40978007205 7452268.4454697985,332209.24837282207 7452280.711740691,332205.7876101767 7452295.161632009,332201.51438114187 7452308.508969929,332597.7327405036 7452230.650965736,332582.20331051276 7452168.696616508)))
5;1;0.010873536913643;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((330387.3938546898 7454533.484824492,330355.074786206 7454570.8508212175,330338.9244571511 7454588.713695155,330322.78026708827 7454606.029816741,330324.3434310667 7454613.703079203,330377.72923661885 7454705.189075826,330385.21353749617 7454700.461537759,330389.4479313228 7454691.322644269,330401.117228601 7454681.830311195,330409.80709879484 7454667.164006734,330427.2827483114 7454653.690564169,330433.4857685894 7454640.089857649,330437.71482095995 7454630.841504604,330445.21847072593 7454623.81743813,330387.3938546898 7454533.484824492)))
6;1;0.02286388873278299;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((330875.52471217 7439988.59351659,330751.9235686357 7440028.560890097,330758.4647821134 7440051.825452423,330888.1387743777 7440016.032071697,330987.2209766068 7439966.442641011,330918.48975782935 7439831.617955793,330871.26222084416 7439714.620139709,330864.1583561521 7439751.902865436,330868.03540480364 7439774.99068144,330861.7472609405 7439834.251584457,330851.05308172846 7439911.099011285,330854.9014806245 7439934.259110453,330875.52471217 7439988.59351659)))
7;1;0.08474780621294556;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((330111.8194556283 7441072.769944112,330100.20778778533 7441079.193914723,330092.4666700751 7441083.4765587,330076.02242799243 7441080.0113618355,330055.5894877268 7441089.066616187,330042.07467176643 7441117.868955363,330036.220136574 7441149.49026696,330030.88387700956 7441183.849273605,330022.70114931336 7441226.917411724,330163.0147019881 7441354.174430506,330167.3690052725 7441406.127515856,330184.812239437 7441515.050622656,330194.0740583035 7441570.338135941,330200.6758970292 7441617.946539159,330220.25526175107 7441732.359024924,330222.5816587257 7441745.22505508,330237.2434534519 7441736.376696822,330306.41609328217 7441693.453687726,330385.03368435364 7441641.349644034,330334.09998111543 7441433.155140852,330325.07059482136 7441405.734804233,330297.7435778571 7441392.858151639,330275.8422574843 7441386.053002493,330198.7633915175 7441254.598988799,330183.3680201818 7441255.516666901,330170.20749054744 7441253.181593608,330154.9488233457 7441242.081078218,330143.6353387189 7441222.283913594,330134.513227443 7441203.058007184,330127.03309131396 7441184.397144394,330123.9480775788 7441165.78630536,330121.4186756701 7441146.635465269,330123.2532963648 7441130.266019819,330140.52665089606 7441109.155154357,330155.0654616511 7441086.920511197,330135.33111300436 7441082.871610418,330111.8194556283 7441072.769944112)))
8;1;0.0436710641754799;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((339951.3973603599 7444897.040793061,339893.3124613395 7445086.584851446,339854.9043835505 7445183.443294545,339839.86858039605 7445201.861964503,339812.6263698478 7445231.079163132,339870.6816255538 7445301.101670596,339926.1535573235 7445355.795517607,339960.69148850243 7445312.447841439,339989.6639134565 7445275.5982475635,340017.5196342722 7445240.376140514,340037.50087448675 7445222.010151442,340043.11873483314 7445210.594548927,340038.9096172541 7445193.062793991,340026.5980752702 7445162.329370384,340017.42000844725 7445146.930348791,340003.88678489625 7445127.659540114,339989.72224741516 7445116.032392181,339977.136109967 7445110.979614947,339951.3973603599 7444897.040793061)))
9;1;0.052754542024114545;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((341545.0408718884 7437979.918935687,341570.30849445006 7437847.658667123,341603.8910094375 7437838.670118863,341599.65529619245 7437803.348117771,341570.89116213046 7437798.192159518,341526.96965097846 7437767.254780809,341496.5076556662 7437795.810571608,341476.4550519432 7437774.787693283,341460.4646053608 7437711.281184917,341364.4825805152 7437733.303932391,341341.6797329344 7437721.06308138,341299.0909717146 7437816.08628755,341322.8531630837 7437823.934442703,341324.70219823986 7437824.479908332,341326.5824494563 7437824.90548927,341328.48615241854 7437825.209428122,341328.48615241854 7437825.209428122,341347.534862057 7437827.625923529,341401.23918111355 7437813.621955158,341403.201682186 7437813.179914472,341405.1893957681 7437812.870390328,341407.19338417146 7437812.694774499,341409.2046365601 7437812.653856615,341411.2141094379 7437812.747820688,341413.21276726935 7437812.976244193,341415.1916232115 7437813.338100042,341417.1417793904 7437813.831761172,341419.05446704396 7437814.455007839,341420.9210858369 7437815.20503765,341422.7332426135 7437816.078478135,341424.48278908 7437817.071401912,341426.16185848485 7437818.179344324,341427.76290096337 7437819.397323569,341429.2787174941 7437820.719863055,341430.702492286 7437822.141016041,341432.0278233789 7437823.654392373,341433.24875150865 7437825.253187228,341434.35978679056 7437826.930211692,341435.3559335356 7437828.677925092,341436.2327125899 7437830.488468906,341436.9861815774 7437832.353702132,341437.61295253155 7437834.2652378,341438.11020723014 7437836.214480788,341438.47570976295 7437838.192666408,341438.47570976295 7437838.192666408,341445.1158587272 7437882.375391712,341378.6048299439 7437903.515474817,341389.682988508 7437955.723973284,341394.1973061218 7437971.947201181,341397.67042129533 7437990.862443328,341397.1760723656 7438008.517462329,341396.77313342213 7438021.6099147685,341393.035935779 7438026.366703365,341388.99421312055 7438030.867610168,341384.6654396399 7438035.093175721,341380.06833058374 7438039.025130995,341375.22276131535 7438042.646476392,341370.1496814046 7438045.941555185,341364.8710240768 7438048.896121287,341359.4096113413 7438051.497400764,341359.4096113413 7438051.497400764,341295.31028423714 7438079.481074749,341292.91109459766 7438080.442720497,341290.4578842287 7438081.25674285,341287.9597269587 7438081.920130946,341285.4258628518 7438082.430431068,341282.8656640578 7438082.78575575,341282.8656640578 7438082.78575575,341289.619998074 7438082.660132665,341305.75999807846 7438082.360132657,341321.899998081 7438082.060132651,341322.2499980724 7438082.050132647,341340.86999808555 7438074.20013265,341419.35999809345 7438041.11013259,341419.0399980825 7438038.940132594,341460.66999810515 7438020.330132578,341491.9799980987 7438012.300132554,341525.10999810393 7437996.800132535,341555.7899981128 7438019.860132515,341592.8599981206 7438052.810132501,341600.4156309526 7438025.45306479,341545.0408718884 7437979.918935687)))
10;1;0.027224966357950204;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((340567.08781485824 7432186.235213021,340575.19509252463 7432239.184696153,340557.5761695999 7432242.868902249,340554.9625577146 7432270.746663112,340531.0110582148 7432272.27204533,340567.18607479194 7432330.440917876,340630.34856873954 7432326.270752818,340764.29106096167 7432233.003915078,340673.0201835822 7432133.560052112,340656.0346537919 7432137.745190859,340648.0662060783 7432137.654889418,340640.8795187591 7432141.836965657,340622.75691272214 7432142.386530904,340605.7692629153 7432142.548730155,340600.1775709635 7432146.08028185,340590.5388813991 7432150.061478587,340581.7383369133 7432159.07154792,340573.56640737585 7432165.148102969,340569.99803928577 7432173.13917705,340567.08781485824 7432186.235213021)))
11;1;0.003355115085885008;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((333547.92258094775 7452027.166347949,333539.3412981356 7452036.579780825,333528.0415583183 7452050.569875934,333516.8832299736 7452063.770025205,333508.01370515267 7452073.961412925,333497.92974440346 7452085.986233058,333525.1998755332 7452113.942122506,333543.0174487142 7452097.044880912,333558.07320612826 7452082.168059263,333569.6204598991 7452069.325749198,333581.3405059134 7452055.818742268,333547.92258094775 7452027.166347949)))
12;1;0.03786789214369687;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((333441.6271268736 7428729.650313574,333439.8464548114 7428759.027422294,333429.21939484426 7428783.753102497,333429.66001406126 7428793.24064379,333425.4877691926 7428804.230052223,333437.37742294616 7428815.453243865,333437.8488999838 7428828.971702889,333424.2983111898 7428861.111477518,333424.4523796385 7428875.966035636,333429.8590187623 7428898.24958018,333417.38737390307 7428926.880624839,333419.68865727005 7428954.301875451,333385.6841634321 7429035.66325812,333395.5178070251 7429055.322567837,333380.2486228393 7429070.1301482925,333360.12299915776 7429096.940075828,333360.2309991639 7429105.7500758255,333358.7474164576 7429115.775335655,333385.54573039815 7429133.564312562,333390.3785468993 7429157.354838716,333397.5269204973 7429178.97639155,333393.50490678113 7429203.31707316,333426.1169991576 7429191.72507582,333429.889035488 7429184.856125004,333439.56084803736 7429187.623805657,333451.26745953213 7429189.192055481,333469.95648194663 7429192.752541693,333491.96659101895 7429202.652973863,333492.603827426 7429202.561056841,333491.2939991646 7429170.63207582,333489.0049991647 7429134.604075826,333487.6769991657 7429097.089075828,333492.0889991602 7429042.722075824,333496.6689991661 7428997.120075829,333496.5129991622 7428957.074075824,333498.7199991636 7428942.942075823,333502.6334233209 7428927.1886143945,333504.1195976967 7428917.870005783,333503.887512504 7428909.106119173,333498.56447989325 7428892.2274890905,333496.4719116072 7428887.973743714,333488.1529991589 7428846.603075831,333488.946169539 7428807.338549769,333483.85650122166 7428787.827000013,333469.3822026119 7428747.129169824,333465.7459616737 7428742.025955675,333447.8962423504 7428730.398560232,333441.6271268736 7428729.650313574)))
13;1;0.09942350471717959;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((340593.38625869714 7449248.875482747,340570.7454612945 7449258.473482447,340553.08067334973 7449265.391381653,340538.77782498364 7449266.33238095,340517.93720078096 7449261.737724034,340482.68318494887 7449268.468315301,340430.93925056217 7449275.023225622,340348.36171301076 7449286.168919636,340275.864408869 7449279.930203751,340258.42871072877 7449471.604586007,340291.21377851226 7449490.265576867,340338.47092154156 7449492.135750588,340395.2849454386 7449474.156115653,340421.736040829 7449468.151752936,340456.321598268 7449472.619648531,340529.9657258744 7449474.496789381,340572.95626834314 7449464.021982681,340625.88147352275 7449449.826447282,340684.9284573293 7449428.589888912,340732.9993491885 7449405.596650705,340786.51733521593 7449387.307274122,340840.5036628357 7449376.675411008,340871.1232710743 7449366.341723353,340901.6500075563 7449364.752784405,340839.91707638005 7449276.640107879,340834.9671688336 7449276.86080071,340800.1555918559 7449293.709070493,340772.49821969634 7449309.813373296,340744.3375938217 7449321.539441096,340713.5564220797 7449321.212249396,340669.35910982534 7449290.132364312,340638.2259714448 7449271.216670771,340620.24408906023 7449256.267062858,340593.38625869714 7449248.875482747)))
14;1;0.054414202217591516;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((332951.5149340918 7429254.1878760755,332812.2236181629 7429626.829403404,332842.2313772858 7429707.57919599,332948.07115544484 7429683.033730393,333045.003174728 7429318.996422185,333033.06857602287 7429306.416660863,333017.77729295194 7429295.279370488,332999.46932515735 7429281.282704298,332982.6211999501 7429269.855592207,332951.5149340918 7429254.1878760755)))
15;1;0.06562506938924942;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((329101.36799338483 7448200.071426844,329002.8957851344 7448406.062542052,329084.35335950676 7448447.760394752,329113.4718116863 7448461.266703464,329187.01566653105 7448497.664881548,329256.63153541763 7448529.031153969,329321.02036030946 7448565.417505338,329336.8815889751 7448517.956961397,329340.5317925352 7448475.07570984,329320.33915591927 7448422.350292256,329299.14084304695 7448375.073858023,329295.05832988734 7448337.618206458,329236.7632409547 7448281.635171192,329167.7977487063 7448233.469135476,329101.36799338483 7448200.071426844)))
16;1;0.07298705560502966;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((351367.5499977665 7450607.880005279,351408.3599977709 7450545.07000528,351253.55126410944 7450387.951538464,351267.2099977564 7450361.300005281,351286.08370873425 7450324.472774631,351241.2128672928 7450308.080300639,351216.5410445642 7450304.103716655,351216.178975257 7450293.916295382,351194.12999774795 7450215.150005286,351155.9006725936 7450305.158648889,351150.98048053146 7450315.560731588,351010.93999772874 7450584.400005279,351198.90999774914 7450593.720005279,351367.5499977665 7450607.880005279)))
33;1;0.07070361436854074;Atibaia;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((334279.95298540546 7437061.566088363,334216.8364106201 7437353.078353975,334151.4257155737 7437653.304021569,334206.80270533636 7437662.659269979,334239.8062510899 7437658.656625082,334266.3159298396 7437645.842436058,334282.9512349371 7437631.826044012,334332.7947445158 7437620.0904381545,334343.5055080745 7437076.473381348,334279.95298540546 7437061.566088363)))
17;1;0.05211918625036141;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((348355.4099973877 7448312.819005331,348428.46899739694 7448242.3500053305,348427.65599739656 7448173.373005332,348499.26199740585 7448139.835005333,348556.9349974128 7448135.170005335,348622.1099974205 7448077.366005334,348660.1669974235 7448075.811005333,348695.9439974281 7448086.783005334,348705.93499742984 7448063.871005336,348642.80899742205 7448022.227005335,348554.09799741174 7448088.772005334,348405.62299739383 7447961.078005334,348371.8679973886 7447976.315005336,348286.22099738 7448261.19700533,348347.3929973872 7448305.698005332,348355.4099973877 7448312.819005331)))
18;1;0.027169516422617602;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((340124.34315925895 7433226.3190489225,340221.7304082776 7433157.473847496,340021.17543415807 7433015.536976501,339932.4791563372 7433093.210091727,340124.34315925895 7433226.3190489225)))
19;1;0.036608779975433624;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((331730.880982912 7445048.4216904715,331730.0857729865 7445032.671511319,331733.43232901115 7445024.747365681,331745.14448383765 7445013.488272905,331765.3092553384 7444997.743935553,331795.8330995393 7444975.454527143,331818.2965152998 7444958.762102837,331844.05043891084 7444933.005143699,331877.3353597233 7444902.931185516,331886.52525521826 7444891.447203359,331893.6615111636 7444882.358352557,331892.728503827 7444880.634946341,331890.85575700836 7444879.289833646,331875.023473794 7444881.861645208,331839.373281443 7444873.945872853,331828.73590768885 7444867.309066858,331811.5781369925 7444853.8611443825,331799.89092708216 7444842.878229579,331783.8817333771 7444819.106361294,331763.9586123072 7444796.274257744,331731.11595058884 7444763.4527497105,331665.700505415 7444817.210842967,331603.3953145334 7444859.883748338,331620.7440320445 7444876.371388752,331730.880982912 7445048.4216904715)))
20;1;0.05175851678812071;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((337035.3498833293 7444315.92606933,337107.44293197023 7444072.764137532,336967.385296801 7444067.9018420465,336952.75420213095 7444087.997252247,336944.4090182965 7444096.422303403,336933.67489160906 7444106.623653744,336917.4642458593 7444120.951293053,336912.52919941244 7444125.166890381,336905.62522482936 7444131.941375871,336900.6458610872 7444136.154702038,336890.8172725531 7444144.877195387,336882.31070611207 7444150.479955638,336868.74621453695 7444157.933090309,336858.9168803257 7444163.244728789,336852.6144966122 7444165.0640802635,336847.5174515133 7444167.106751021,336840.1711603692 7444168.663408225,336829.4710158857 7444168.848713276,336812.49288802186 7444164.930797724,336806.7070921267 7444160.733684646,336805.02896627516 7444164.017604357,336776.98776987573 7444229.497382787,336766.594697929 7444258.549259258,336775.5856323791 7444260.592703277,336799.5793407796 7444245.782504553,336827.58077773673 7444249.170610877,336867.9916646307 7444274.753444346,336885.60661035904 7444309.945978138,337032.89012954925 7444315.825398165,337035.3498833293 7444315.92606933)))
21;1;0.0170046031539782;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((329818.28380334546 7428219.673090266,329818.64268126036 7428221.134710236,329817.83929512976 7428222.69558759,329817.3750712698 7428225.985266765,329817.990792267 7428229.817444022,329819.10046007036 7428233.014499236,329820.0075842314 7428238.189580096,329820.55875580513 7428240.469954144,329817.7794190317 7428243.7060272265,329817.6120944291 7428246.677875318,329821.19082656584 7428249.382977521,329822.7223592761 7428259.211402589,329832.1385025272 7428268.338175213,329834.199865126 7428273.410370239,329969.9714717297 7428286.93880044,329986.654928277 7428290.113143131,330001.3374513431 7428292.229827248,330008.29604981735 7428293.348467058,330028.8368936276 7428296.88606593,330027.8497926558 7428269.910890107,330028.6746451033 7428257.162177047,330029.4497932906 7428248.990266511,330032.4267436052 7428237.104210407,330038.08880515635 7428227.885101453,330042.06417307496 7428222.306483882,330050.4437363788 7428209.637269476,330055.5473146186 7428200.967390049,330056.88907527365 7428197.118611252,330031.9852735148 7428194.718234525,330015.61169932416 7428194.561652714,329999.7883091555 7428195.399839116,329964.19095458137 7428198.654877471,329937.07573650655 7428200.602756575,329905.8223380038 7428203.820390681,329876.5395424576 7428211.09481126,329868.78244910773 7428212.659492433,329847.75096928084 7428216.607732958,329841.34277435264 7428217.466446133,329819.67540247366 7428219.546734514,329818.28380334546 7428219.673090266)))
22;1;0.0175746019861285;Atibaia;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((336995.62845882436 7444449.741379696,336980.3684566204 7444450.201390741,336888.1684418443 7444444.941383065,336825.5984599414 7444463.571375682,336936.1784492531 7444648.481386263,336995.62845882436 7444449.741379696)))
23;1;0.02000000128765711;Atibaia;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((341184.53771416785 7435248.1719799945,341163.30562486144 7435101.016100872,341030.1312503553 7435119.962049486,341052.7297141694 7435268.256979991,341184.53771416785 7435248.1719799945)))
