id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
1026;3.197438717729927e-13;Cruzeiro;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((503386.5282489673 7501090.7425616635,503373.85670332 7501136.247937752,503439.47339769115 7501150.487201178,503450.4982943527 7501138.971998487,503459.86905364686 7501127.457169905,503475.30415802536 7501112.651626755,503386.5282489673 7501090.7425616635)))
974;3.1123696877020205e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((502120.1060276086 7501668.25965045,502052.84738715243 7501752.698521206,502303.22228765365 7502026.240323963,502357.8016057546 7501962.086198529,502120.1060276086 7501668.25965045)))
956;1.7769684202093105e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((499157.39465252403 7503067.563337877,499383.52497418015 7503153.030452804,499416.8166822613 7503123.819323307,499387.61394994444 7503088.571574136,499397.82375558885 7503071.961003751,499384.58946477063 7503063.187793067,499204.3822121361 7502990.08008005,499157.39465252403 7503067.563337877)))
957;6.4286414251039565e-12;Cruzeiro;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((500546.3460715349 7500334.73895351,500529.2544902347 7500338.02873119,500479.08266755455 7500356.669069177,500330.22040425695 7500407.655406132,500226.5675543409 7500441.645652855,500064.4711791724 7500485.5032551745,500035.80098036595 7500495.37098022,500104.1690877605 7500585.276041862,500192.3871611268 7500699.302266178,500318.09460333467 7500592.947967343,500431.6710691861 7500503.587972155,500459.78905265476 7500472.887861275,500499.4845883396 7500421.903998658,500517.6778728003 7500386.27048032,500528.70420448505 7500368.727776034,500550.7570285724 7500340.220758858,500546.3460715349 7500334.73895351)))
958;2.830534016494265e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((499771.52561002586 7502861.840462506,499772.96562344866 7502850.4804915935,499762.7156177874 7502754.480491927,499870.45563113695 7502548.930477979,499851.29563931207 7502546.410479639,499830.5956305775 7502542.500462776,499812.65562219475 7502538.630486222,499794.6456375172 7502536.930488696,499775.96562384674 7502536.810462489,499763.51564572536 7502535.830480447,499744.6156333998 7502535.400469637,499730.85562474554 7502537.400473827,499709.8356311436 7502542.500467552,499709.6656268276 7502584.530490989,499699.44559886405 7502701.590474967,499680.79561873554 7502811.480496366,499677.4156171292 7502822.130470796,499699.38560810115 7502831.200468432,499714.20563031815 7502837.520481907,499732.91562755575 7502845.430482677,499771.52561002586 7502861.840462506)))
975;2.235831764737822e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((497963.5924031881 7510844.464549194,497948.4197061056 7510846.931087245,497919.4533446781 7510853.784292502,497896.2805368068 7510857.072548761,497879.17754171253 7510854.053079801,497862.3500718513 7510853.502184553,497844.41996421927 7510847.191158352,497804.69550842413 7510850.202664873,497782.6251786114 7510860.073718734,497752.2778881697 7510877.349212652,497734.0695538614 7510887.22077764,497716.4130019292 7510896.543840133,497682.47827923024 7510920.9501121985,497663.1660642595 7510933.015736181,497653.51040533546 7510936.0314047225,497644.9582783009 7510938.498666083,497644.12636584503 7510966.749948823,497650.4708480472 7510969.219490733,497687.98807501607 7510970.596600436,497726.0565494455 7510975.265131082,497760.26251654606 7510982.9501539,497782.3300337359 7510993.924795322,497803.294439029 7511002.704963962,497819.8465166283 7511001.061598652,497836.4024843219 7510971.71531909,497850.7507190656 7510947.854476973,497866.20167562686 7510928.930942216,497879.1696057515 7510911.652781857,497932.1386582478 7510885.8772380855,497960.8297938954 7510874.635411232,497972.14063267043 7510870.796927776,497963.5924031881 7510844.464549194)))
1052;2.385814074467345e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((497997.05610300036 7501736.2577388715,497928.26330383925 7501781.06790744,497827.7618929466 7501847.803113144,497894.33900155075 7501880.570235103,497963.9506062281 7501900.179745473,497981.04256776226 7501911.421167996,498011.63988976856 7501953.640629191,498036.45349294506 7501950.08017972,498056.0286169959 7501947.61553417,498100.6945727299 7501928.980531694,498064.3101839457 7501864.282305522,497997.05610300036 7501736.2577388715)))
959;4.083639890016126e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((500589.845622443 7503686.060451279,500593.1556050488 7503677.260443445,500597.7156147801 7503665.660448037,500607.35559735616 7503643.540465249,500611.3256169985 7503633.8404863,500617.97561639437 7503620.890459148,500623.0156070543 7503611.330461459,500628.00560749776 7503602.180461635,500634.0655948393 7503591.350483598,500639.95559359447 7503581.470478323,500646.9755995479 7503571.2904734975,500657.5356047314 7503556.730467338,500666.8255895958 7503544.230459282,500680.0956103275 7503526.430464832,500690.6755899904 7503513.570476105,500704.7955901836 7503495.710462186,500712.4255983464 7503484.9004583135,500719.92558733455 7503476.000478553,500729.78561121214 7503463.57047984,500738.8455949648 7503451.930467373,500747.2156041122 7503441.290478668,500758.63558754127 7503427.170459126,500768.05560081534 7503415.360465307,500775.485593591 7503405.930452901,500785.90559841855 7503392.740475622,500798.8055817146 7503376.440449574,500806.1956030289 7503366.750447186,500819.2555903159 7503350.910450928,500831.5555966591 7503335.270471384,500836.145600706 7503329.58046609,500833.67558260955 7503329.490446577,500828.2555901406 7503332.430461099,500818.2055991436 7503336.080453378,500800.52558589587 7503338.930461073,500799.9455808067 7503339.0404472845,500787.7155782243 7503341.760458739,500775.81557809765 7503344.390474341,500763.8755897728 7503346.880454987,500755.91559488024 7503348.530464215,500750.8355878952 7503349.750467587,500746.9855828266 7503351.970466731,500739.3755848601 7503356.610475335,500732.06560418947 7503361.110469004,500722.79559730267 7503366.870462697,500711.7155817117 7503373.75047972,500701.79560896574 7503379.990471536,500692.62559085805 7503385.370454933,500686.33559238835 7503389.010473894,500678.4456070324 7503393.750458097,500670.25558302394 7503398.390457934,500663.10558691516 7503402.260471301,500654.7155982009 7503406.620477475,500646.285595876 7503410.910466875,500638.2755939814 7503414.870474327,500626.5655882792 7503419.920471333,500620.3456100377 7503423.660484504,500614.08558890584 7503426.550460221,500611.82558836945 7503426.660475686,500609.6755992996 7503427.190477213,500603.57558610046 7503428.320471922,500596.0655993185 7503428.710469361,500585.2355897657 7503429.390484871,500572.8156097936 7503429.720483055,500569.53559662006 7503429.34046407,500560.8855956147 7503429.690483035,500556.68561256817 7503429.940465779,500548.0355937873 7503429.810465993,500540.3556076133 7503429.980468909,500535.20560038014 7503430.50047994,500533.9155968819 7503434.030489668,500532.64559219073 7503437.87047196,500531.70560533373 7503442.680489574,500530.28559636284 7503446.460486976,500528.3955915339 7503450.130483046,500523.7956088664 7503456.500486264,500517.7655909317 7503465.960431533,500513.8956062114 7503472.030457522,500510.7756078034 7503477.600459741,500508.8256168481 7503480.070442016,500499.8256030181 7503494.180448909,500492.4356133564 7503505.680453621,500486.9056039489 7503513.760448738,500481.7656146155 7503521.44045592,500472.2656034237 7503536.500460576,500470.47561861953 7503539.740431355,500475.3856204585 7503546.36044662,500481.9456004663 7503555.110434241,500492.5656109929 7503569.250432161,500502.67559847044 7503582.150453251,500514.72559701744 7503598.050450826,500531.52560602955 7503620.280453799,500539.68562105094 7503631.460458577,500546.4156010565 7503639.990438672,500552.9556227323 7503648.940444016,500559.7256109573 7503657.890438098,500569.42561530124 7503670.530452222,500576.9656114113 7503680.570436409,500586.87560100434 7503693.600442506,500589.845622443 7503686.060451279)))
960;1.80172254339323e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((500083.81801368634 7502817.566731248,499964.7082047644 7502817.566919667,499964.7077909807 7502997.405114874,500079.40742488106 7502988.632306695,500083.81801368634 7502817.566731248)))
961;1.2016740986948185e-12;Cruzeiro;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((498718.9207212734 7500677.472082498,498714.23349196115 7500685.694819364,498711.751693218 7500693.917741135,498706.7880376067 7500710.9118097015,498697.4138705689 7500723.519840436,498691.34840661864 7500729.549634751,498724.15176988434 7500760.526302837,498759.16057366994 7500791.503152896,498764.6718900573 7500820.010668993,498861.709933152 7500843.591378428,498876.049319731 7500789.867534811,498718.9207212734 7500677.472082498)))
