id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
1;1.7852608109026224e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((450329.5664839643 7442825.57150435,450326.99647692055 7442824.181478292,450311.0264699073 7442837.761492917,450312.9064745446 7442848.401493276,450311.7764837574 7442868.121503314,450317.09648096416 7442879.731499163,450300.9464850244 7442899.9015056295,450291.2464656087 7442908.661486937,450283.66647671384 7442916.61148089,450279.23646622035 7442926.961500782,450278.01647659065 7442942.541502314,450288.44646701764 7442973.051503871,450298.18647670106 7442986.421482267,450297.1264806499 7443007.921495343,450300.2064942032 7443020.691492068,450307.21648797934 7443028.771487646,450308.5864878417 7443038.04150149,450412.066465198 7443015.791497381,450417.2464696879 7443004.901473377,450416.3064668845 7442990.941480445,450412.22648315027 7442979.681501944,450402.38648132724 7442967.2214814555,450371.5064670782 7442937.37149988,450358.00647743954 7442908.411503576,450363.05648084846 7442899.65149815,450376.00646151573 7442897.971483455,450391.41647711396 7442905.381497838,450393.0764696995 7442903.881478284,450394.66647555697 7442899.731492527,450396.32648432354 7442883.5615008855,450395.33646904194 7442858.221499496,450393.1164791075 7442846.11147501,450387.7464820144 7442829.391486775,450385.6864804429 7442825.651474383,450368.9464954568 7442815.281475308,450364.99648802035 7442804.391483228,450359.54648746335 7442798.631483759,450354.1065035235 7442793.641502375,450351.6464913431 7442785.001502281,450350.9864855716 7442782.93148526,450340.6964854624 7442790.551485004,450338.3264872784 7442802.551484572,450329.5664839643 7442825.57150435)))
2;8.181661087672722e-12;Taubate;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((450828.3271441184 7450619.3677889295,451249.58715895534 7450589.197765863,451250.73716337245 7450562.747764142,451251.7771660282 7450544.377771301,451249.9671601336 7450524.717783338,451247.5971650057 7450514.267769612,451242.797156878 7450499.4077867735,451220.5171490577 7450442.677786104,451213.3471546706 7450413.747771044,451210.06715726375 7450386.697781051,451210.89716421446 7450365.757778847,451212.87716382707 7450342.717768444,451213.1671616283 7450320.627788209,451187.5471507771 7450328.197789226,451038.8871645576 7450369.977774729,450992.07716902765 7450382.65778785,450912.56716781296 7450405.307767095,450909.19715338526 7450406.297773713,450905.30714555446 7450407.427777885,450901.0171503029 7450408.687778414,450814.52715780365 7450429.307767024,450806.0371652926 7450431.3277808335,450806.0871596867 7450431.467770634,450814.4171518998 7450453.507781012,450814.7371652876 7450462.0877739135,450816.68717071105 7450462.477763471,450820.9971618465 7450471.747774662,450818.5071480605 7450478.827789679,450819.2071595066 7450484.117788323,450817.9371642895 7450487.237790485,450820.23714613356 7450495.707763268,450822.90714728436 7450496.5477904435,450826.8571541676 7450503.897773445,450830.85715669673 7450502.557780864,450834.6271571291 7450502.687770966,450838.45716943045 7450506.03776243,450854.5071667922 7450512.777769712,450850.5871633744 7450523.687776608,450845.8671482979 7450528.287778305,450848.17715790163 7450535.077778714,450841.2071547275 7450545.457778297,450842.8171710942 7450552.8577709105,450837.63715670706 7450562.327775816,450836.1871605402 7450571.88778347,450831.94715807383 7450613.317770515,450828.3271441184 7450619.3677889295)))
3;1.9757729439688265e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((450743.67073527805 7433913.632769049,450695.0164515333 7433851.229415273,450637.0314801708 7433879.488055699,450594.76683701645 7433900.28402576,450555.3628983525 7433924.502567412,450544.71785558655 7433931.415842233,450534.0487888143 7433945.55563225,450513.19494739355 7433972.494706253,450504.89549126284 7433984.927343333,450498.857866087 7433996.9063892085,450525.89027559443 7433992.673188045,450559.1187224195 7433986.810794879,450582.71621749405 7433984.724506263,450609.3903499063 7433985.353512203,450633.99705047306 7433989.2269137,450655.99979903654 7433988.546331605,450722.903556905 7433985.188908658,450779.77429014497 7433976.385764729,450743.67073527805 7433913.632769049)))
4;2.8325557100124483e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((450743.81238557573 7433913.783766869,450779.4679629538 7433976.400849137,450794.25902268774 7433934.655472518,450813.6737740774 7433895.268315388,450844.9690047415 7433876.966764572,450987.0797268506 7433814.936210172,450988.29094895907 7433798.452654593,450980.64070427587 7433779.639288501,450971.8235215228 7433763.889523492,450922.28599873924 7433701.226740552,450694.6603950423 7433851.12230146,450743.81238557573 7433913.783766869)))
5;8.431988425959685e-12;Taubate;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((445938.8186294594 7456583.034814153,446300.82707314414 7456385.732571786,446306.561466067 7456192.407599692,446290.3366762939 7456200.294157673,446277.6199164654 7456199.37409275,446217.23791159096 7456211.763729034,446195.2653928766 7456213.3541130815,446184.6715922237 7456211.649915989,446167.2875078927 7456206.062321518,446150.6108605513 7456197.623984395,446137.7172489202 7456199.283737129,446113.432259504 7456204.409328707,446090.3465515759 7456212.058674394,446052.01489516324 7456226.438094296,445978.94813426543 7456252.24407329,445960.77809319703 7456258.661433149,445943.36238699214 7456264.812374327,445938.8186294594 7456583.034814153,445938.8186294594 7456583.034814153)))
6;1.6881082393697927e-13;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((454538.0311256582 7434329.575014383,454598.4361141921 7434386.393004529,454614.97690725984 7434375.509897718,454565.1938160493 7434316.839698812,454538.0311256582 7434329.575014383)))
7;3.2395755384661406e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((447507.2065171244 7441536.121521551,447508.51652701246 7441534.63153425,447482.63651527197 7441510.001542651,447431.526526488 7441487.101528207,447398.676511562 7441471.671547797,447316.8465255894 7441457.23154843,447305.80652263685 7441459.901533991,447285.18653644074 7441452.511530108,447276.62653745315 7441444.271523785,447271.8565355314 7441433.951538255,447271.5265150585 7441420.231550039,447284.94653989177 7441397.191523192,447215.4265547606 7441377.23152668,447214.45655850455 7441385.621527042,447207.00656278327 7441410.441541089,447200.97653563163 7441420.081538856,447188.35652716947 7441431.661504863,447178.18652174785 7441436.911496788,447163.84654054843 7441440.241503324,447147.0065340594 7441439.871519492,447119.586532319 7441432.491528399,447086.2565293397 7441416.261511713,447078.8165696811 7441406.791507736,447070.40654544934 7441386.93151854,447058.67654735956 7441368.651520556,447059.54654298385 7441354.481513342,447054.9165663809 7441345.201511346,447046.0165669963 7441337.111521553,447029.4465441526 7441324.661520481,447023.8865412885 7441322.031524748,447013.6465506073 7441337.09150535,447012.29655387666 7441349.541524988,447004.116547036 7441379.2515133945,446980.50653419044 7441405.001517218,446949.4465414043 7441420.601520427,447090.62652976706 7441492.291515252,447251.4865353762 7441492.21154616,447316.83654177363 7441516.7115234155,447350.0765309948 7441533.831540801,447401.2665255908 7441536.601539088,447438.8465242411 7441533.071544869,447450.4465293876 7441525.911533365,447483.3665184103 7441521.351542167,447507.2065171244 7441536.121521551)))
8;2.1324287233954664e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((435784.1342203003 7454258.502972981,435659.8238761956 7454404.457627983,435765.59909358784 7454479.247670768,435884.3816090912 7454340.373535445,435784.1342203003 7454258.502972981)))
9;1.6395412890154527e-13;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((454698.45010043524 7434311.03001535,454695.8001186462 7434306.680004819,454689.18011396774 7434295.750007557,454685.66011924954 7434289.230002809,454682.36010278104 7434282.209999906,454677.38010860764 7434270.3499872,454674.8401115628 7434264.35998518,454667.3601249752 7434265.279986508,454665.7101255557 7434265.949989443,454658.85010034166 7434269.540008727,454651.5901114367 7434275.120004549,454649.71012153 7434277.990014091,454661.2201074842 7434303.980004439,454665.4801141524 7434312.699995154,454671.32010411564 7434327.819995758,454674.42012238514 7434332.029985124,454675.0001044739 7434337.320015151,454701.72012080584 7434315.750009283,454698.45010043524 7434311.03001535)))
10;4.0324690820068215e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((436157.7643882686 7453782.111282956,435932.01646261243 7454062.910265532,436041.8608541583 7454150.012255873,436168.7005549098 7453989.583451669,436150.0866399672 7453971.740454791,436238.23109575117 7453861.706509685,436222.9281449189 7453840.871654608,436208.4253739605 7453825.779237329,436187.89586146263 7453806.015327159,436165.98406070797 7453788.158538774,436157.7643882686 7453782.111282956)))
