id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
1;analista 2;finalizado;NULL;NULL;NULL;0.057525554387092497;MULTIPOLYGON(((352325.52912552434 7445775.9408146255,352250.83097287733 7445692.903647007,352184.3425261313 7445642.289807963,352117.85452273925 7445591.675646089,352099.39175195596 7445529.089643402,352088.646550982 7445509.25380326,352088.646550982 7445901.9862726405,352326.40099772904 7445901.9862726405,352325.52912552434 7445775.9408146255)))
2;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7451101.9862726405,352788.646550982 7451101.9862726405,352788.646550982 7450701.9862726405,352088.646550982 7450701.9862726405,352088.646550982 7451101.9862726405)))
3;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7451501.9862726405,352788.646550982 7451501.9862726405,352788.646550982 7451101.9862726405,352088.646550982 7451101.9862726405,352088.646550982 7451501.9862726405)))
4;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7451901.9862726405,352788.646550982 7451901.9862726405,352788.646550982 7451501.9862726405,352088.646550982 7451501.9862726405,352088.646550982 7451901.9862726405)))
5;analista 2;finalizado;NULL;NULL;NULL;0.25137149170561407;MULTIPOLYGON(((352608.4231108879 7452196.515830256,352732.0547375552 7452160.622278366,352788.646550982 7452136.373681342,352788.646550982 7451901.9862726405,352088.646550982 7451901.9862726405,352088.646550982 7452301.9862726405,352519.60095561657 7452301.9862726405,352608.4231108879 7452196.515830256)))
6;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7449501.9862726405,352788.646550982 7449501.9862726405,352788.646550982 7449101.9862726405,352088.646550982 7449101.9862726405,352088.646550982 7449501.9862726405)))
7;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7449901.9862726405,352788.646550982 7449901.9862726405,352788.646550982 7449501.9862726405,352088.646550982 7449501.9862726405,352088.646550982 7449901.9862726405)))
8;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7450301.9862726405,352788.646550982 7450301.9862726405,352788.646550982 7449901.9862726405,352088.646550982 7449901.9862726405,352088.646550982 7450301.9862726405)))
9;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7450701.9862726405,352788.646550982 7450701.9862726405,352788.646550982 7450301.9862726405,352088.646550982 7450301.9862726405,352088.646550982 7450701.9862726405)))
10;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7447901.9862726405,352788.646550982 7447901.9862726405,352788.646550982 7447501.9862726405,352088.646550982 7447501.9862726405,352088.646550982 7447901.9862726405)))
11;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7448301.9862726405,352788.646550982 7448301.9862726405,352788.646550982 7447901.9862726405,352088.646550982 7447901.9862726405,352088.646550982 7448301.9862726405)))
12;analista 2;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((352088.646550982 7448701.9862726405,352788.646550982 7448701.9862726405,352788.646550982 7448301.9862726405,352088.646550982 7448301.9862726405,352088.646550982 7448701.9862726405)))
