id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
1884;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7495901.9862726405,506788.646550982 7495901.9862726405,506788.646550982 7495501.9862726405,506088.646550982 7495501.9862726405,506088.646550982 7495901.9862726405)))
1885;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7496301.9862726405,506788.646550982 7496301.9862726405,506788.646550982 7495901.9862726405,506088.646550982 7495901.9862726405,506088.646550982 7496301.9862726405)))
1886;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7496701.9862726405,506788.646550982 7496701.9862726405,506788.646550982 7496301.9862726405,506088.646550982 7496301.9862726405,506088.646550982 7496701.9862726405)))
1887;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7497101.9862726405,506788.646550982 7497101.9862726405,506788.646550982 7496701.9862726405,506088.646550982 7496701.9862726405,506088.646550982 7497101.9862726405)))
1888;analista 3;finalizado;NULL;NULL;NULL;0.0741126106328369;MULTIPOLYGON(((506587.8402258378 7494249.551460797,506551.85478367587 7494214.004379628,506494.3736205542 7494186.086058192,506379.4559757802 7494165.62367506,506315.00771180296 7494133.720571784,506278.7583785502 7494146.806271855,506223.71415326727 7494144.5967375655,506156.5078438915 7494097.170547435,506127.15609463624 7494087.484574283,506090.35998515994 7494089.836612243,506088.646550982 7494091.025145267,506088.646550982 7494301.9862726405,506603.60398874513 7494301.9862726405,506587.8402258378 7494249.551460797)))
1889;analista 3;finalizado;NULL;NULL;NULL;0.2603182728102305;MULTIPOLYGON(((506781.01308715297 7494485.9426460825,506751.18717240414 7494441.352401167,506621.0556243281 7494360.03543473,506603.60398874513 7494301.9862726405,506088.646550982 7494301.9862726405,506088.646550982 7494701.9862726405,506788.646550982 7494701.9862726405,506788.646550982 7494513.27049541,506781.01308715297 7494485.9426460825)))
1890;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7495101.9862726405,506788.646550982 7495101.9862726405,506788.646550982 7494701.9862726405,506088.646550982 7494701.9862726405,506088.646550982 7495101.9862726405)))
1891;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7495501.9862726405,506788.646550982 7495501.9862726405,506788.646550982 7495101.9862726405,506088.646550982 7495101.9862726405,506088.646550982 7495501.9862726405)))
1892;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7502301.9862726405,506788.646550982 7502301.9862726405,506788.646550982 7501901.9862726405,506088.646550982 7501901.9862726405,506088.646550982 7502301.9862726405)))
1893;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7502701.9862726405,506788.646550982 7502701.9862726405,506788.646550982 7502301.9862726405,506088.646550982 7502301.9862726405,506088.646550982 7502701.9862726405)))
1894;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7503101.9862726405,506788.646550982 7503101.9862726405,506788.646550982 7502701.9862726405,506088.646550982 7502701.9862726405,506088.646550982 7503101.9862726405)))
1895;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7503501.9862726405,506788.646550982 7503501.9862726405,506788.646550982 7503101.9862726405,506088.646550982 7503101.9862726405,506088.646550982 7503501.9862726405)))
1896;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7500701.9862726405,506788.646550982 7500701.9862726405,506788.646550982 7500301.9862726405,506088.646550982 7500301.9862726405,506088.646550982 7500701.9862726405)))
1897;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7501101.9862726405,506788.646550982 7501101.9862726405,506788.646550982 7500701.9862726405,506088.646550982 7500701.9862726405,506088.646550982 7501101.9862726405)))
1898;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7501501.9862726405,506788.646550982 7501501.9862726405,506788.646550982 7501101.9862726405,506088.646550982 7501101.9862726405,506088.646550982 7501501.9862726405)))
1899;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7501901.9862726405,506788.646550982 7501901.9862726405,506788.646550982 7501501.9862726405,506088.646550982 7501501.9862726405,506088.646550982 7501901.9862726405)))
1900;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7499101.9862726405,506788.646550982 7499101.9862726405,506788.646550982 7498701.9862726405,506088.646550982 7498701.9862726405,506088.646550982 7499101.9862726405)))
1901;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7499501.9862726405,506788.646550982 7499501.9862726405,506788.646550982 7499101.9862726405,506088.646550982 7499101.9862726405,506088.646550982 7499501.9862726405)))
1902;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7499901.9862726405,506788.646550982 7499901.9862726405,506788.646550982 7499501.9862726405,506088.646550982 7499501.9862726405,506088.646550982 7499901.9862726405)))
1903;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7500301.9862726405,506788.646550982 7500301.9862726405,506788.646550982 7499901.9862726405,506088.646550982 7499901.9862726405,506088.646550982 7500301.9862726405)))
1904;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7497501.9862726405,506788.646550982 7497501.9862726405,506788.646550982 7497101.9862726405,506088.646550982 7497101.9862726405,506088.646550982 7497501.9862726405)))
1905;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506088.646550982 7497901.9862726405,506788.646550982 7497901.9862726405,506788.646550982 7497501.9862726405,506088.646550982 7497501.9862726405,506088.646550982 7497901.9862726405)))
