id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
3072;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7438301.9862726405,459888.646550982 7438301.9862726405,459888.646550982 7437901.9862726405,459188.646550982 7437901.9862726405,459188.646550982 7438301.9862726405)))
3073;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7438701.9862726405,459888.646550982 7438701.9862726405,459888.646550982 7438301.9862726405,459188.646550982 7438301.9862726405,459188.646550982 7438701.9862726405)))
3074;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7439101.9862726405,459888.646550982 7439101.9862726405,459888.646550982 7438701.9862726405,459188.646550982 7438701.9862726405,459188.646550982 7439101.9862726405)))
3075;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7439501.9862726405,459888.646550982 7439501.9862726405,459888.646550982 7439101.9862726405,459188.646550982 7439101.9862726405,459188.646550982 7439501.9862726405)))
3076;analista 1;andamento;NULL;NULL;NULL;0.056522081262247496;MULTIPOLYGON(((459453.95356943907 7436682.527800152,459416.60714258836 7436626.072682915,459373.67914941336 7436522.550890795,459370.1394625855 7436425.016524497,459325.6152126509 7436422.574646438,459247.5642690181 7436435.940397153,459188.646550982 7436472.7614207985,459188.646550982 7436701.9862726405,459473.43348960165 7436701.9862726405,459453.95356943907 7436682.527800152)))
3077;analista 1;andamento;NULL;NULL;NULL;0.19981531916463505;MULTIPOLYGON(((459731.18847093545 7437002.394638985,459719.0545646342 7436865.943302557,459692.9512864282 7436810.67429112,459675.50896461797 7436793.2362517975,459550.2993763353 7436753.3155475,459486.8600245055 7436715.398024735,459473.43348960165 7436701.9862726405,459188.646550982 7436701.9862726405,459188.646550982 7437101.9862726405,459771.1062101312 7437101.9862726405,459731.18847093545 7437002.394638985)))
3078;analista 1;andamento;NULL;NULL;NULL;0.2727728014746893;MULTIPOLYGON(((459827.49641527765 7437170.296604181,459779.81905425666 7437123.724136501,459771.1062101312 7437101.9862726405,459188.646550982 7437101.9862726405,459188.646550982 7437501.9862726405,459888.646550982 7437501.9862726405,459888.646550982 7437196.74570366,459827.49641527765 7437170.296604181)))
3079;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7437901.9862726405,459888.646550982 7437901.9862726405,459888.646550982 7437501.9862726405,459188.646550982 7437501.9862726405,459188.646550982 7437901.9862726405)))
3080;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7444701.9862726405,459888.646550982 7444701.9862726405,459888.646550982 7444301.9862726405,459188.646550982 7444301.9862726405,459188.646550982 7444701.9862726405)))
3081;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459188.646550982 7445101.9862726405,459888.646550982 7445101.9862726405,459888.646550982 7444701.9862726405,459188.646550982 7444701.9862726405,459188.646550982 7445101.9862726405)))
